City,Country,Continent,Season,Year
Athens, Greece,Europe,Summer,1896
Paris, France,Europe,Summer,1900
St. Louis, United States,North America,Summer,1904
London, United Kingdom,Europe,Summer,1908
Stockholm, Sweden,Europe,Summer,1912
Berlin, Germany,Europe,Summer,1916
Antwerp, Belgium,Europe,Summer,1920
Chamonix, France,Europe,Winter,1924
Paris, France,Europe,Summer,1924
St. Moritz,  Switzerland,Europe,Winter,1928
Amsterdam, Netherlands,Europe,Summer,1928
Lake Placid, United States,North America,Winter,1932
Los Angeles, United States,North America,Summer,1932
Garmisch-Partenkirchen, Nazi Germany,Europe,Winter,1936
Berlin, Nazi Germany,Europe,Summer,1936
St. Moritz,  Switzerland,Europe,Winter,1948
London, United Kingdom,Europe,Summer,1948
Oslo, Norway,Europe,Winter,1952
Helsinki, Finland,Europe,Summer,1952
Cortina d'Ampezzo, Italy,Europe,Winter,1956
Melbourne, Australia,Oceania,Summer,1956
Stockholm, Sweden,Europe,Summer,1956
Squaw Valley, United States,North America,Winter,1960
Rome, Italy,Europe,Summer,1960
Innsbruck, Austria,Europe,Winter,1964
Tokyo, Japan,Asia,Summer,1964
Grenoble, France,Europe,Winter,1968
Mexico City, Mexico,North America,Summer,1968
Sapporo, Japan,Asia,Winter,1972
Munich, West Germany,Europe,Summer,1972
Innsbruck, Austria,Europe,Winter,1976
Montreal, Canada,North America,Summer,1976
Lake Placid, United States,North America,Winter,1980
Moscow, Soviet Union,Europe,Summer,1980
Sarajevo, Yugoslavia,Europe,Winter,1984
Los Angeles, United States,North America,Summer,1984
Calgary, Canada,North America,Winter,1988
Seoul, South Korea,Asia,Summer,1988
Albertville, France,Europe,Winter,1992
Barcelona, Spain,Europe,Summer,1992
Lillehammer, Norway,Europe,Winter,1994
Atlanta, United States,North America,Summer,1996
Nagano, Japan,Asia,Winter,1998
Sydney, Australia,Oceania,Summer,2000
Salt Lake City, United States,North America,Winter,2002
Athens, Greece,Europe,Summer,2004
Turin, Italy,Europe,Winter,2006
Beijing, China,Asia,Summer,2008
Vancouver, Canada,North America,Winter,2010
London, United Kingdom,Europe,Summer,2012
Sochi, Russia,Europe,Winter,2014
Rio de Janeiro, Brazil,South America,Summer,2016
Pyeongchang, South Korea,Asia,Winter,2018